date,open,high,low,close,volume,Change
2025-06-24,8815,9020,8629,8795,2649530,0.03215585025231782
2025-06-25,8824,9215,8580,9186,2212914,0.044457077885162066
2025-06-26,9020,9030,8121,8394,2229011,-0.08621815806662314
2025-06-27,8394,8394,8082,8101,1299910,-0.034905885156063854
2025-06-30,8189,8306,8062,8199,1239907,0.012097271941735599
2025-07-01,8355,8668,8218,8306,1196082,0.013050371996584875
2025-07-02,8433,8492,8199,8365,973072,0.007103298820130055
2025-07-03,8375,8727,8257,8551,916165,0.022235505080693274
2025-07-04,8551,8551,7837,7847,1744311,-0.0823295520991697
2025-07-07,7671,7994,7583,7994,974737,0.01873327386262269
2025-07-08,7984,8551,7925,8531,1532536,0.06717538153615221
2025-07-09,8746,9157,8668,8990,2474621,0.05380377446958162
2025-07-10,8990,9577,8902,9440,2234482,0.0500556173526141
2025-07-11,9675,9743,9411,9469,1586535,0.0030720338983050155
2025-07-14,9469,9733,9342,9733,1281013,0.02788045200126721
2025-07-15,9675,9870,9489,9762,975923,0.002979554094318271
2025-07-16,9714,9821,9117,9186,1959460,-0.05900430239704979
2025-07-17,9274,9274,9000,9117,1052593,-0.007511430437622479
2025-07-18,9147,9215,8766,8981,977272,-0.01491718767138317
2025-07-21,8775,8971,8658,8893,920866,-0.009798463422781456
2025-07-22,8961,9205,8795,8902,1458094,0.0010120319352300289
2025-07-23,8942,8942,8443,8844,1269271,-0.006515389800044957
2025-07-24,8844,8990,8433,8551,1956071,-0.03312980551786526
2025-07-25,8502,8795,8472,8697,883726,0.017074026429657385
2025-07-28,8697,8697,8062,8170,1792271,-0.060595607680809516
2025-07-29,8121,8443,8062,8424,851693,0.031089351285189748
2025-07-30,8472,8580,8267,8326,809420,-0.01163342830009495
2025-07-31,8336,8570,8170,8326,748389,0.0
2025-08-01,8257,8257,7720,7867,1222536,-0.05512851309152056
2025-08-04,7818,8033,7769,7915,649385,0.006101436379814418
2025-08-05,7974,8179,7915,7974,268302,0.0074542008843967444
2025-08-06,7974,8287,7896,8287,599479,0.039252570855279556
2025-08-07,8404,8472,8150,8306,550722,0.00229274767708465
2025-08-08,8306,8306,8042,8111,459471,-0.02347700457500601
2025-08-11,8062,8091,7730,7935,533431,-0.021698927382566846
2025-08-12,8052,8453,7935,8179,885325,0.0307498424700694
2025-08-13,8306,8336,8033,8209,400684,0.003667930064800151
2025-08-14,8209,8267,8082,8209,249137,0.0
2025-08-18,8189,8189,7935,8042,314539,-0.020343525398952345
2025-08-19,8042,8091,7906,7984,324644,-0.007212136284506343
2025-08-20,7915,7935,7456,7720,630653,-0.033066132264529036
2025-08-21,7720,7896,7632,7632,307861,-0.011398963730569922
2025-08-22,7671,7818,7485,7700,568660,0.008909853249475796
2025-08-25,7769,8033,7759,7935,741587,0.030519480519480613
