date,open,high,low,close,volume,Change
2025-07-01,31268,32683,31079,31504,7517333,0.05696839562504197
2025-07-02,32683,33626,31692,33437,7878426,0.061357287963433205
2025-07-03,33107,35182,32447,34239,8735637,0.023985405389239434
2025-07-04,34900,35230,34098,34381,4457750,0.004147317386606009
2025-07-07,33155,34805,33060,33862,2534387,-0.015095546959076223
2025-07-08,33768,34003,32070,33296,3008927,-0.016714901659677484
2025-07-09,32258,32306,30278,31457,3876091,-0.05523185968284483
2025-07-10,31787,32730,31457,32730,2758263,0.04046794036303525
2025-07-11,33815,35701,33013,33390,9439786,0.02016498625114571
2025-07-14,34145,34145,32589,32824,2100574,-0.016951182988918845
2025-07-15,33013,34286,32494,34145,2693485,0.040244942724835475
2025-07-16,34522,34664,33485,33485,1791456,-0.019329330795138433
2025-07-17,33579,33626,32824,33202,998052,-0.008451545468120103
2025-07-18,33579,34569,33296,33296,2548882,0.00283115474971396
2025-07-21,33815,37635,33768,35748,14057673,0.07364247957712644
2025-07-22,35890,36550,34947,35324,3306475,-0.011860803401588904
2025-07-23,36597,36645,34569,35654,3468611,0.009342090363492206
2025-07-24,35182,35937,34900,35748,2246873,0.002636450328153961
2025-07-25,35465,37022,34947,36786,3635029,0.02903658945955012
2025-07-28,36456,36456,35513,35937,1946682,-0.023079432392758115
2025-07-29,35937,35984,34569,35937,3212115,0.0
2025-07-30,35560,35560,30136,30513,15395807,-0.15093079555889477
2025-07-31,30796,30938,28627,28957,6311489,-0.05099465801461667
2025-08-01,29051,29382,28061,28202,2962782,-0.026073142936077653
2025-08-04,27825,28533,27778,28344,1959727,0.005035103893340942
2025-08-05,28580,29004,28250,28438,1535586,0.003316398532317244
2025-08-06,28108,28910,28108,28863,1521241,0.014944792179478084
2025-08-07,28627,28674,28297,28485,1445433,-0.013096351730589317
2025-08-08,28580,29004,28297,28674,1088811,0.006635071090047351
2025-08-11,28297,28297,27071,27354,2375298,-0.04603473530027202
2025-08-12,26929,27825,26882,27118,1543849,-0.008627623016743469
2025-08-13,27401,27448,26882,27354,862261,0.008702706689283968
2025-08-14,28627,28721,27731,28297,2195664,0.034473934342326595
2025-08-18,29382,29806,28533,28674,2589392,0.013322967098985838
2025-08-19,29334,29665,28816,28910,2442499,0.008230452674897082
2025-08-20,28155,28674,27920,28155,1306542,-0.026115530958146005
2025-08-21,27495,28485,26882,27872,1716062,-0.01005150062155924
2025-08-22,27401,27495,26882,27212,1763621,-0.023679678530424852
2025-08-25,27542,27778,27306,27731,850460,0.019072468028810796
2025-08-26,27401,27589,26788,26835,1289186,-0.03231041073167218
2025-08-27,26929,27212,26835,27023,732974,0.007005776038755407
2025-08-28,27023,27023,26457,26835,829021,-0.006957036598453148
2025-08-29,26929,26976,26505,26740,617186,-0.0035401527855413173
