Strategy Combination,Avg Return(%),Avg MDD(%),Avg Sharpe,Avg Win Rate,Avg Profit Factor
VolSpike_3.0x(0.6) + Doji_Rebound(0.4),54.72,-32.4,0.53,0.48,1.16
Doji_Rebound(1.0),53.6,-32.9,0.51,0.47,1.15
Momentum_20(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
GCross_5_20(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
VolSpike_3.0x(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
BBounce_20(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
Disparity_20(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
MACD_12_26(0.2) + Doji_Rebound(0.8),53.6,-32.9,0.51,0.47,1.15
Doji_Rebound(0.4) + High_52W_Breakout(0.6),53.6,-32.9,0.51,0.47,1.15
Doji_Rebound(0.6) + High_52W_Breakout(0.4),53.6,-32.9,0.51,0.47,1.15
Doji_Rebound(0.8) + High_52W_Breakout(0.2),53.6,-32.9,0.51,0.47,1.15
Doji_Rebound(0.8) + MA_Breakout_20(0.2),53.6,-32.9,0.51,0.47,1.15
Doji_Rebound(0.8) + RSI_14(0.2),53.6,-32.9,0.51,0.47,1.15
VolSpike_3.0x(0.4) + Doji_Rebound(0.6),53.4,-33.2,0.53,0.48,1.16
GCross_5_20(0.2) + VolSpike_3.0x(0.8),42.56,-28.39,0.37,0.44,3.59
VolSpike_3.0x(1.0),42.4,-28.38,0.36,0.44,3.58
VolSpike_3.0x(0.8) + BBounce_20(0.2),42.4,-28.38,0.36,0.44,3.58
VolSpike_3.0x(0.8) + MACD_12_26(0.2),42.4,-28.38,0.36,0.44,3.58
VolSpike_3.0x(0.8) + Doji_Rebound(0.2),42.4,-28.38,0.36,0.44,3.58
VolSpike_3.0x(0.8) + High_52W_Breakout(0.2),42.4,-28.38,0.36,0.44,3.58
VolSpike_3.0x(0.8) + MA_Breakout_20(0.2),42.4,-28.38,0.36,0.44,3.58
Momentum_20(0.2) + VolSpike_3.0x(0.8),42.38,-28.81,0.34,0.44,1.69
Doji_Rebound(0.6) + MA_Breakout_20(0.4),41.88,-32.31,0.47,0.48,1.16
Momentum_20(0.6) + Doji_Rebound(0.4),41.86,-33.86,0.25,0.47,1.09
Momentum_20(0.4) + Doji_Rebound(0.6),41.8,-33.9,0.25,0.47,1.08
GCross_5_20(0.4) + Doji_Rebound(0.6),41.55,-33.68,0.35,0.46,1.13
GCross_5_20(0.6) + Doji_Rebound(0.4),41.55,-33.68,0.35,0.46,1.13
VolSpike_3.0x(0.8) + RSI_14(0.2),40.77,-27.77,0.35,0.44,3.6
Momentum_20(1.0),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + GCross_5_20(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + VolSpike_3.0x(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + BBounce_20(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + Disparity_20(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + MACD_12_26(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + Doji_Rebound(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.4) + High_52W_Breakout(0.6),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.6) + High_52W_Breakout(0.4),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + High_52W_Breakout(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + MA_Breakout_20(0.2),39.99,-32.03,0.24,0.47,1.08
Momentum_20(0.8) + RSI_14(0.2),39.99,-32.03,0.24,0.47,1.08
VolSpike_3.0x(0.6) + High_52W_Breakout(0.4),39.96,-28.01,0.31,0.42,1.72
Momentum_20(0.6) + VolSpike_3.0x(0.4),38.49,-31.94,0.22,0.47,1.08
GCross_5_20(1.0),37.06,-31.83,0.25,0.45,1.11
Momentum_20(0.2) + GCross_5_20(0.8),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + VolSpike_3.0x(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + BBounce_20(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + Disparity_20(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + MACD_12_26(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + Doji_Rebound(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.4) + High_52W_Breakout(0.6),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.6) + High_52W_Breakout(0.4),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + High_52W_Breakout(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + MA_Breakout_20(0.2),37.06,-31.83,0.25,0.45,1.11
GCross_5_20(0.8) + RSI_14(0.2),37.06,-31.83,0.25,0.45,1.11
Momentum_20(0.4) + VolSpike_3.0x(0.6),36.39,-32.27,0.2,0.46,1.08
VolSpike_3.0x(0.6) + MA_Breakout_20(0.4),36.32,-29.47,0.36,0.46,1.15
Doji_Rebound(0.6) + RSI_14(0.4),36.17,-27.42,0.61,0.48,1.26
Momentum_20(0.4) + GCross_5_20(0.6),35.38,-32.31,0.22,0.45,1.1
Momentum_20(0.6) + GCross_5_20(0.4),35.38,-32.31,0.22,0.45,1.1
Doji_Rebound(0.4) + MA_Breakout_20(0.6),35.35,-32.76,0.41,0.47,1.14
GCross_5_20(0.6) + VolSpike_3.0x(0.4),35.03,-31.43,0.25,0.45,1.12
VolSpike_3.0x(0.8) + Disparity_20(0.2),34.97,-25.72,0.31,0.42,3.71
GCross_5_20(0.4) + VolSpike_3.0x(0.6),34.5,-30.83,0.26,0.45,1.12
Momentum_20(0.6) + MA_Breakout_20(0.4),34.19,-32.72,0.22,0.46,1.09
GCross_5_20(0.6) + MA_Breakout_20(0.4),32.93,-32.56,0.19,0.45,1.09
High_52W_Breakout(0.6) + MA_Breakout_20(0.4),32.54,-28.72,0.34,0.45,1.15
